1,重庆市,2884.62
2,上海市,2301.91
3,北京市,1961.24
4,成都市,1404.76
5,天津市,1293.82
6,广州市,1270.08
7,保定市,1119.44
8,哈尔滨市,1063.60
9,苏州市,1046.60
10,深圳市,1035.79
11,南阳市,1026.30
12,石家庄市,1016.38
13,临沂市,1003.94
14,武汉市,978.54
15,邯郸市,917.47
16,温州市,912.21
17,潍坊市,908.62
18,周口市,895.32
19,青岛市,871.51
20,杭州市,870.04
21,郑州市,862.65
22,徐州市,858.05
23,西安市,846.78
24,赣州市,836.84
25,菏泽市,828.78
26,东莞市,822.02
27,泉州市,812.85
28,沈阳市,810.62
29,济宁市,808.19
30,南京市,800.47
31,长春市,767.71
32,宁波市,760.57
33,阜阳市,760.00
34,唐山市,757.73
35,商丘市,736.25
36,南通市,728.28
37,盐城市,726.02
38,驻马店市,723.07
39,佛山市,719.43
40,衡阳市,714.15
41,沧州市,713.41
42,福州市,711.54
43,邢台市,710.41
44,邵阳市,707.18
45,长沙市,704.41
46,湛江市,699.33
47,烟台市,696.82
48,济南市,681.40
49,大连市,669.04
50,南宁市,666.16
51,上饶市,657.97
52,洛阳市,654.95
53,毕节地区,653.64
54,昆明市,643.20
55,无锡市,637.26
56,南充市,627.86
57,黄冈市,616.21
58,遵义市,612.70
59,信阳市,610.87
60,台州市,596.88
61,揭阳市,587.70
62,曲靖市,585.50
63,茂名市,581.78
64,聊城市,578.99
65,常德市,571.72
66,新乡市,570.78
67,合肥市,570.20
68,荆州市,569.17
69,六安市,561.20
70,德州市,556.82
71,襄阳市,550.03
72,泰安市,549.42
73,玉林市,548.74
74,岳阳市,547.79
75,达州市,546.81
76,宜春市,541.96
77,绥化市,541.64
78,汕头市,539.10
79,齐齐哈尔市,536.70
80,金华市,536.16
81,宿州市,535.30
82,安庆市,531.10
83,渭南市,528.61
84,昭通市,521.30
85,永州市,518.02
86,安阳市,517.28
87,运城市,513.48
88,南昌市,504.26
89,绍兴市,491.22
90,平顶山市,490.44
91,咸阳市,489.48
92,亳州市,485.10
93,孝感市,481.45
94,吉安市,481.03
95,漳州市,481.00
96,淮安市,479.99
97,桂林市,474.80
98,怀化市,474.19
99,九江市,472.88
